event;venue;year;month;event_type;organizer;result;country;crew;boat_type;distance;age_category;gender;race_number;lane_number;stage;all comers;comment
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.021;Canada;National Team;20;200;junior A;open;207;2;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.053;Thailand;National Team;20;200;junior B;open;207;4;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.123;United States;National Team;20;200;premier;women;269;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.137;Philippines;National Team;20;200;premier;mixed;174;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.149;Japan;National Team;20;200;senior A;open;200;4;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.152;Canada;National Team;20;200;senior B;open;194;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.184;Singapore;National Team;20;200;premier;mixed;187;2;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.209;Japan;National Team;20;200;premier;mixed;139;2;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.256;Australia;National Team;20;200;premier;mixed;176;2;semi 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.274;Thailand;National Team;10;200;u24;open;241;1;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.317;Australia;National Team;20;200;senior A;mixed;150;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.337;Australia;National Team;20;200;senior B;mixed;178;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.344;Switzerland;National Team;20;200;premier;mixed;176;5;semi 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.360;Iran;National Team;10;200;premier;open;272;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.363;Thailand;National Team;10;200;u24;open;208;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.366;United States;National Team;20;200;premier;women;247;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.392;Singapore;National Team;20;200;premier;mixed;137;1;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.399;Philippines;National Team;20;200;premier;mixed;140;5;heat 4;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.437;Great Britain;National Team;20;200;senior B;open;252;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.442;Cambodia;National Team;10;200;premier;open;258;1;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.477;Australia;National Team;20;200;junior A;open;207;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.506;Australia;National Team;20;200;senior B;mixed;145;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.525;Macau;National Team;20;200;premier;mixed;140;4;heat 4;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.540;Japan;National Team;20;200;premier;mixed;175;1;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.588;Switzerland;National Team;20;200;premier;mixed;138;2;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.592;Great Britain;National Team;20;200;premier;mixed;174;1;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.597;United States;National Team;20;200;senior B;open;193;4;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.609;Canada;National Team;20;200;senior A;women;236;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.618;Thailand;National Team;20;200;junior B;mixed;170;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.624;Thailand;National Team;10;200;senior A;open;264;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.626;Great Britain;National Team;20;200;premier;mixed;137;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.651;Philippines;National Team;10;200;senior A;open;264;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.682;Ukraine;National Team;10;200;premier;open;217;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.683;Canada;National Team;20;200;u24;women;236;6;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.700;Thailand;National Team;20;200;junior A;mixed;169;3;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.722;Great Britain;National Team;20;200;senior B;open;229;4;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.736;Cambodia;National Team;10;200;premier;open;272;4;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.776;Germany;National Team;10;200;premier;open;273;6;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.841;New Zealand;National Team;20;200;premier;mixed;186;2;plate final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.859;Germany;National Team;20;200;senior A;mixed;149;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.873;Singapore;National Team;20;200;senior A;open;201;4;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.885;Canada;National Team;20;200;senior A;women;205;2;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.901;Iran;National Team;10;200;premier;open;218;4;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.924;Hong Kong;National Team;20;200;senior B;open;229;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.929;Ukraine;National Team;20;200;senior A;mixed;182;5;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.999;Germany;National Team;10;200;premier;open;218;5;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.004;Canada;National Team;20;200;senior B;mixed;178;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.018;Canada;National Team;20;200;senior C;open;197;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.050;Singapore;National Team;20;200;senior A;open;232;6;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.098;Japan;National Team;20;200;premier;mixed;186;3;plate final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.111;Thailand;National Team;20;200;junior B;mixed;153;6;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.141;Hong Kong;National Team;20;200;senior B;open;252;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.160;Cambodia;National Team;10;200;premier;open;218;1;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.168;Great Britain;National Team;20;200;senior B;open;193;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.171;Hong Kong;National Team;20;200;senior B;open;193;2;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.217;Chinese Taipei;National Team;20;200;senior B;open;229;5;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.225;Philippines;National Team;20;200;premier;mixed;187;5;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.241;Canada;National Team;20;200;senior B;mixed;146;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.254;Ukraine;National Team;10;200;senior A;open;264;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:49.277;Canada;National Team;20;200;u24;women;205;5;round 1;;
